my_road_class,my_road_surface,road_class_mult,road_surface_mult,cost_m_1000s_bridge,cost_embed_cv
Forest Service Road,loose,1,1,20,40
resource,loose,1,1,20,40
Road Permit,loose,1,1,20,40
unclassified,loose,1,1,20,40
unclassified,rough,1,1,20,40
unclassified,paved,1,2,40,80
unclassified,unknown,1,2,40,80
local,loose,4,1,80,160
local,paved,4,2,160,320
arterial,paved,15,2,600,1200
highway,paved,15,2,600,1200
rail,rail,15,2,600,1200
